criterion_id,criterion_type,criterion_label,criterion_description,stage_applied,applies_to_category,examples_include,examples_exclude,papers_affected_count
I1,Inclusion,RS imagery processed,Paper proposes or evaluates a model that processes remote sensing imagery through a language-model interface (VLM or MLLM architecture),Title/Abstract,All,"GeoChat; EarthGPT; GeoGround","Pure RS detection papers; NLP papers",847 initial screened
I2,Inclusion,Published or preprint with code,Published in a peer-reviewed venue OR released as arXiv preprint with public code or model weights at time of search,Full-text,All,"CVPR papers; arXiv with GitHub","Preprints with no code or weights released",76 excluded
I3,Inclusion,Quantitative benchmark results,Reports numeric evaluation scores on at least one standard RS or MLLM benchmark (not self-constructed only),Post-eligibility,All,"GeoChat-Bench; RSVQA; DOTA mAP","Papers with only qualitative examples",25 excluded
E1,Exclusion,Off-topic — no RS,Paper does not involve remote sensing or Earth observation imagery,Title/Abstract,All,"Medical imaging; natural scene VLMs","Any RS-specific content",398 excluded
E2,Exclusion,No language model interface,Paper uses computer vision only — no language model or text interface component,Title/Abstract,All,Pure detection/segmentation CNNs,"LLaVA; CLIP-based models",Part of 398 above
E3,Exclusion,Not RS modality,Paper uses ground-level photography not satellite/aerial imagery,Title/Abstract,All,"Street-level scene understanding","Satellite/aerial imagery papers",Part of 398 above
E4,Exclusion,Duplicate record,Same paper retrieved from multiple databases; only one record retained,Pre-screening dedup,All,Same DOI different databases,,37 removed at dedup
E5,Exclusion,No RS-MLLM scope,Paper processes RS imagery but does not involve a language-model interface or RS-MLLM architecture; included as contextual supporting literature if relevant,Full-text,All,"RS detection/segmentation papers","GeoChat; EarthGPT",107 excluded from primary; moved to contextual
E6,Exclusion,No code or weights,Preprint paper provides no public code repository or model weights at time of search (14 August 2026),Full-text,All (preprints only),,Preprints with 'code coming soon',76 excluded
E7,Exclusion,No quantitative results,Paper reports no numeric evaluation on any standard benchmark; qualitative examples only,Post-eligibility,All,,,25 excluded
E8,Exclusion,Duplicate model report,Paper describes a variant or version of an already-included model architecture; companion report folded into primary model entry,Post-eligibility,Model,,Workshop papers describing same model,12 excluded
